[12:19:30]	[SEARCH_FIX]:	search for:org/apache/commons/lang3/StringEscapeUtils$CsvEscaper:translate:(Ljava/lang/CharSequence;ILjava/io/Writer;)Iline 156 - 156
[12:19:31]	[FAIL_TC_FILTER_START]:	survive count:0
[12:19:31]	[FILTER_DEAD]:	CSV_QUOTE_STR.isEmpty():false;not expected:false
[12:19:31]	[FILTER_SURVIVE]:	!CSV_QUOTE_STR.isEmpty():true;not expected:false
[12:19:31]	[FILTER_SURVIVE]:	index==0:true;index != 0:false
[12:19:31]	[FILTER_DEAD]:	index>0:false;index != 0:false
[12:19:31]	[FILTER_SURVIVE]:	index>=0:true;index != 0:false
[12:19:31]	[FILTER_DEAD]:	index<0:false;index != 0:false
[12:19:31]	[FILTER_SURVIVE]:	index<=0:true;index != 0:false
[12:19:31]	[FILTER_SURVIVE]:	index != 0||index!=CSV_QUOTE:true;index != 0:false
[12:19:31]	[FILTER_DEAD]:	index != 0&&index!=CSV_QUOTE:false;index != 0:false
[12:19:31]	[FILTER_SURVIVE]:	index != 0||index<=CSV_QUOTE:true;index != 0:false
[12:19:31]	[FILTER_DEAD]:	index != 0&&index<=CSV_QUOTE:false;index != 0:false
[12:19:31]	[FILTER_SURVIVE]:	index != 0||index<CSV_QUOTE:true;index != 0:false
[12:19:31]	[FILTER_DEAD]:	index != 0&&index<CSV_QUOTE:false;index != 0:false
[12:19:31]	[FAIL_TC_FILTER_FINISHED]:	survive count:7
[12:19:31]	[FAIL_TC_FILTER_SPLIT_FINISHED]:	#true:7	#false:6	
[12:19:31]	[SEARCH_FIX]:	search for:org/apache/commons/lang3/text/translate/EntityArrays:HTML40_EXTENDED_UNESCAPE:()[[Ljava/lang/String;line 349 - 349
[12:19:31]	[GENERATE_METHOD_FIX]:	1
[12:19:31]	[METHOD_FIX_DETAIL]:	||||?? -> HTML40_EXTENDED_UNESCAPE.clone()
[12:19:31]	[SEARCH_FIX]:	search for:org/apache/commons/lang3/text/translate/EntityArrays:BASIC_ESCAPE:()[[Ljava/lang/String;line 358 - 358
[12:19:31]	[GENERATE_METHOD_FIX]:	1
